locale,key,status
af,compte_created_subject,same_as_fr
af,compte_created_title,same_as_fr
af,greeting,same_as_fr
af,compte_created_message,same_as_fr
af,credentials_title,same_as_fr
af,label_email,same_as_fr
af,label_password,same_as_fr
af,label_initial_balance,same_as_fr
af,cta_login,same_as_fr
af,info_access,same_as_fr
af,support_contact,same_as_fr
af,footer_thanks,same_as_fr
af,footer_brand,same_as_fr
af,footer_partner,same_as_fr
af,virement_success_subject,same_as_fr
af,virement_success_title,same_as_fr
af,virement_success_message,same_as_fr
af,virement_failed_subject,same_as_fr
af,virement_failed_title,same_as_fr
af,virement_failed_message,same_as_fr
af,details_title,same_as_fr
af,label_amount,same_as_fr
af,label_date,same_as_fr
af,label_beneficiary,same_as_fr
af,virement_notice,same_as_fr
af,thanks,same_as_fr
af,contact_support_for_info,same_as_fr
af,regards,same_as_fr
af,service_client,same_as_fr
af,auto_generated_notice,same_as_fr
af,compte_activated_title,same_as_fr
af,compte_activated_heading,same_as_fr
af,good_news,same_as_fr
af,compte_activated_message,same_as_fr
af,compte_activated_explanation,same_as_fr
af,label_holder,same_as_fr
af,label_current_balance,same_as_fr
af,label_status,same_as_fr
af,status_active,same_as_fr
af,you_can_now,same_as_fr
af,can_make_transfers,same_as_fr
af,check_balance,same_as_fr
af,manage_transactions,same_as_fr
af,access_services,same_as_fr
af,thanks_welcome,same_as_fr
af,unlock_code_used_title,same_as_fr
af,unlock_code_used_heading,same_as_fr
af,greeting_simple,same_as_fr
af,info_notification,same_as_fr
af,unlock_code_used_alert,same_as_fr
af,unlock_code_used_explanation,same_as_fr
af,label_date_time,same_as_fr
af,label_transfer_amount,same_as_fr
af,label_recipient,same_as_fr
af,urgent_if_not_you,same_as_fr
af,contact_support_immediately,same_as_fr
af,check_recent_transactions,same_as_fr
af,change_access_codes,same_as_fr
af,if_legitimate,same_as_fr
af,client_can_finalize,same_as_fr
af,transfer_unlock_code_title,same_as_fr
af,transfer_unlock_heading,same_as_fr
af,transfer_unlock_message_intro,same_as_fr
af,transfer_unlock_code_label,same_as_fr
af,your_unlock_code,same_as_fr
af,do_not_share_unlock_code,same_as_fr
af,unlock_code_personal_confidential,same_as_fr
af,unlock_code_needed_finalize,same_as_fr
af,contact_support_for_questions,same_as_fr
af,welcome_title,same_as_fr
af,welcome_heading,same_as_fr
af,welcome_message,same_as_fr
af,login_credentials_title,same_as_fr
af,access_member_area,same_as_fr
af,pleasure_to_assist,same_as_fr
af,balance_decreased_title,same_as_fr
af,balance_decreased_heading,same_as_fr
af,balance_decreased_message,same_as_fr
af,operation_details,same_as_fr
af,label_amount_deducted,same_as_fr
af,label_new_balance,same_as_fr
af,contact_us_if_questions,same_as_fr
af,balance_increased_title,same_as_fr
af,balance_increased_heading,same_as_fr
af,balance_increased_message,same_as_fr
af,label_amount_added,same_as_fr
af,thank_you_trust,same_as_fr
af,refund_title,same_as_fr
af,refund_heading,same_as_fr
af,refund_message,same_as_fr
af,transfer_details,same_as_fr
af,label_transfer_date,same_as_fr
af,label_transfer_reason,same_as_fr
af,refund_amount_text,same_as_fr
af,refund_apology_contact,same_as_fr
af,mail_error_alert_title,same_as_fr
af,system_alert,same_as_fr
af,mail_send_failure_detected,same_as_fr
af,email_sending_problem,same_as_fr
af,email_send_failure_explanation,same_as_fr
af,error_details,same_as_fr
af,label_failed_recipient,same_as_fr
af,label_context,same_as_fr
af,label_error_message,same_as_fr
af,possible_causes,same_as_fr
af,cause_daily_limit,same_as_fr
af,cause_daily_limit_details,same_as_fr
af,cause_smtp_connection,same_as_fr
af,cause_smtp_connection_details,same_as_fr
af,cause_auth_failed,same_as_fr
af,cause_auth_failed_details,same_as_fr
af,cause_app_password_revoked,same_as_fr
af,cause_app_password_revoked_details,same_as_fr
af,recommended_actions,same_as_fr
af,action_if_limit,same_as_fr
af,action_if_limit_details,same_as_fr
af,action_check_logs,same_as_fr
af,action_check_logs_details,same_as_fr
af,action_test_connection,same_as_fr
af,action_check_config,same_as_fr
af,action_check_config_details,same_as_fr
af,action_regenerate_password,same_as_fr
af,action_regenerate_password_details,same_as_fr
af,system_information,same_as_fr
af,label_smtp_server,same_as_fr
af,label_port,same_as_fr
af,label_account,same_as_fr
af,label_environment,same_as_fr
af,alert_auto_generated_notice,same_as_fr
af,account_management_system,same_as_fr
af,alert_generated_by_safemail,same_as_fr
af,contact_technical_team,same_as_fr
af,password_reset_title,same_as_fr
af,password_reset_heading,same_as_fr
af,greeting_simple_name,same_as_fr
af,password_reset_reason,same_as_fr
af,password_reset_click_link,same_as_fr
af,password_reset_no_action_needed,same_as_fr
af,thank_you_using_brand,same_as_fr
am,compte_created_subject,same_as_fr
am,compte_created_title,same_as_fr
am,greeting,same_as_fr
am,compte_created_message,same_as_fr
am,credentials_title,same_as_fr
am,label_email,same_as_fr
am,label_password,same_as_fr
am,label_initial_balance,same_as_fr
am,cta_login,same_as_fr
am,info_access,same_as_fr
am,support_contact,same_as_fr
am,footer_thanks,same_as_fr
am,footer_brand,same_as_fr
am,footer_partner,same_as_fr
am,virement_success_subject,same_as_fr
am,virement_success_title,same_as_fr
am,virement_success_message,same_as_fr
am,virement_failed_subject,same_as_fr
am,virement_failed_title,same_as_fr
am,virement_failed_message,same_as_fr
am,details_title,same_as_fr
am,label_amount,same_as_fr
am,label_date,same_as_fr
am,label_beneficiary,same_as_fr
am,virement_notice,same_as_fr
am,thanks,same_as_fr
am,contact_support_for_info,same_as_fr
am,regards,same_as_fr
am,service_client,same_as_fr
am,auto_generated_notice,same_as_fr
am,compte_activated_title,same_as_fr
am,compte_activated_heading,same_as_fr
am,good_news,same_as_fr
am,compte_activated_message,same_as_fr
am,compte_activated_explanation,same_as_fr
am,label_holder,same_as_fr
am,label_current_balance,same_as_fr
am,label_status,same_as_fr
am,status_active,same_as_fr
am,you_can_now,same_as_fr
am,can_make_transfers,same_as_fr
am,check_balance,same_as_fr
am,manage_transactions,same_as_fr
am,access_services,same_as_fr
am,thanks_welcome,same_as_fr
am,unlock_code_used_title,same_as_fr
am,unlock_code_used_heading,same_as_fr
am,greeting_simple,same_as_fr
am,info_notification,same_as_fr
am,unlock_code_used_alert,same_as_fr
am,unlock_code_used_explanation,same_as_fr
am,label_date_time,same_as_fr
am,label_transfer_amount,same_as_fr
am,label_recipient,same_as_fr
am,urgent_if_not_you,same_as_fr
am,contact_support_immediately,same_as_fr
am,check_recent_transactions,same_as_fr
am,change_access_codes,same_as_fr
am,if_legitimate,same_as_fr
am,client_can_finalize,same_as_fr
am,transfer_unlock_code_title,same_as_fr
am,transfer_unlock_heading,same_as_fr
am,transfer_unlock_message_intro,same_as_fr
am,transfer_unlock_code_label,same_as_fr
am,your_unlock_code,same_as_fr
am,do_not_share_unlock_code,same_as_fr
am,unlock_code_personal_confidential,same_as_fr
am,unlock_code_needed_finalize,same_as_fr
am,contact_support_for_questions,same_as_fr
am,welcome_title,same_as_fr
am,welcome_heading,same_as_fr
am,welcome_message,same_as_fr
am,login_credentials_title,same_as_fr
am,access_member_area,same_as_fr
am,pleasure_to_assist,same_as_fr
am,balance_decreased_title,same_as_fr
am,balance_decreased_heading,same_as_fr
am,balance_decreased_message,same_as_fr
am,operation_details,same_as_fr
am,label_amount_deducted,same_as_fr
am,label_new_balance,same_as_fr
am,contact_us_if_questions,same_as_fr
am,balance_increased_title,same_as_fr
am,balance_increased_heading,same_as_fr
am,balance_increased_message,same_as_fr
am,label_amount_added,same_as_fr
am,thank_you_trust,same_as_fr
am,refund_title,same_as_fr
am,refund_heading,same_as_fr
am,refund_message,same_as_fr
am,transfer_details,same_as_fr
am,label_transfer_date,same_as_fr
am,label_transfer_reason,same_as_fr
am,refund_amount_text,same_as_fr
am,refund_apology_contact,same_as_fr
am,mail_error_alert_title,same_as_fr
am,system_alert,same_as_fr
am,mail_send_failure_detected,same_as_fr
am,email_sending_problem,same_as_fr
am,email_send_failure_explanation,same_as_fr
am,error_details,same_as_fr
am,label_failed_recipient,same_as_fr
am,label_context,same_as_fr
am,label_error_message,same_as_fr
am,possible_causes,same_as_fr
am,cause_daily_limit,same_as_fr
am,cause_daily_limit_details,same_as_fr
am,cause_smtp_connection,same_as_fr
am,cause_smtp_connection_details,same_as_fr
am,cause_auth_failed,same_as_fr
